id,unit_designator,station_id,unit_type_id,reserved
1,E101,1,1,FALSE
2,M101,1,6,FALSE
3,BC111,1,7,FALSE
4,HAZMAT101,1,9,FALSE
5,MCP100,2,13,FALSE
6,MAB100,2,23,FALSE
7,MCSU100,2,17,FALSE
8,E102,2,1,FALSE
9,M102,2,6,FALSE
10,EMS112,2,12,FALSE
11,E103,3,1,FALSE
12,UT103,3,14,FALSE
13,LA103,3,20,FALSE
14,BC112,3,7,FALSE
15,TW104,4,3,FALSE
16,R104,4,5,FALSE
17,M104,4,6,FALSE
18,M104B,4,6,TRUE
19,E105,5,1,FALSE
20,T105,5,2,FALSE
21,M105,5,6,FALSE
22,SW105,5,18,FALSE
23,E106,6,1,FALSE
24,E106B,6,1,TRUE
25,T106,6,2,FALSE
26,M106,6,6,FALSE
27,M106B,6,6,TRUE
28,UT106,6,14,FALSE
29,UT106B,6,14,FALSE
30,LA106,6,20,FALSE
31,E107,7,1,FALSE
32,E108,8,1,FALSE
33,M108,8,6,FALSE
34,MAU108,8,19,FALSE
35,E109,9,1,FALSE
36,R109,9,5,FALSE
37,M109,9,6,FALSE
38,EMS111,9,12,FALSE
39,E110,10,1,FALSE
40,M110,10,6,FALSE
41,TR110,10,11,FALSE
42,E161,11,1,FALSE
43,E161B,11,1,TRUE
44,BC161,11,7,FALSE
45,HAZMAT161,11,9,FALSE
46,UT161,11,14,FALSE
47,E201,12,1,FALSE
48,M202,13,6,FALSE
49,UT202,13,14,FALSE
50,MCSU202,13,17,FALSE
51,CAN202,13,21,FALSE
52,E203,14,1,FALSE
53,M203,14,6,FALSE
54,E204,15,1,FALSE
55,BC211,15,7,FALSE
56,E205,16,1,FALSE
57,TL205,16,3,FALSE
58,M205,16,6,FALSE
59,E206,17,1,FALSE
60,R206,17,5,FALSE
61,M206,17,6,FALSE
62,BC212,17,7,FALSE
63,E207,18,1,FALSE
64,M207,18,6,FALSE
65,MAU207,18,19,FALSE
66,E208,19,1,FALSE
67,T208,19,4,FALSE
68,M208,19,6,FALSE
69,E209,20,1,FALSE
70,T209,20,4,FALSE
71,HAZMAT209,20,9,FALSE
