station_id,station_designator,station_number,department_id,lat,lon,station_name,address,city,state,zip,phone,is_volunteer
1,101,1,1,38.866756,-77.096002,Glebe Road,500 S Glebe Rd,Arlington,VA,22204,703-228-0101,FALSE
2,102,2,1,38.878953,-77.119941,Ballston,4805 Wilson Blvd,Arlington,VA,22203,703-228-0102,FALSE
3,103,3,1,38.898090,-77.10997521,Cherrydale,4100 Old Dominion Dr,Arlington,VA,22207,703-228-0103,TRUE
4,104,4,1,38.884349,-77.09552352,Clarendon,3121 10th St N,Arlington,VA,22201,703-228-0104,FALSE
5,105,5,1,38.857503,-77.05848518,Jefferson District,1750 S Hayes St,Arlington,VA,22202,703-228-0105,FALSE
6,106,6,1,38.8873676,-77.16386915,Falls Church,6950 Little Falls Rd,Arlington,VA,22213,703-228-0106,TRUE
7,107,7,1,38.83674434,-77.0954582,Fairlington,3116 S Abingdon St,Arlington,VA,22206,703-228-0107,FALSE
8,108,8,1,38.89687654,-77.12717879,Lee Highway,4845 Lee Hwy,Arlington,VA,22207,703-228-0108,FALSE
9,109,9,1,38.85194023,-77.09177238,Walter Reed,1900 S Walter Reed Dr,Arlington,VA,22204,703-228-0109,FALSE
10,110,10,1,38.89486273,-77.07637799,Rosslyn,1559 Wilson Blvd,Arlington,VA,22209,703-228-0110,FALSE
11,161,1,6,38.874088,-77.081676,Fort Myer,166 Sheridan Avenue,Fort Myer,VA,22211,703-696-3483,FALSE
12,201,1,3,38.80359482,-77.04333091,Old Town,317 Prince Street,Alexandria,VA,22314,703-746-5201,FALSE
13,202,2,3,38.82465806,-77.05745492,Del Ray,213 East Windsor Avenue,Alexandria,VA,22301,703-746-5202,FALSE
14,203,3,3,38.82995122,-77.07380572,Beverly Hills,2801 Cameron Mills Road,Alexandria,VA,22302,703-746-5203,FALSE
15,204,4,3,38.81628969,-77.0465683,Powhatan Park,900 Second Street,Alexandria,VA,22314,703-746-5204,FALSE
16,205,5,3,38.80675727,-77.05278801,Rosemont,1210 Cameron Street,Alexandria,VA,22314,703-746-5205,FALSE
17,206,6,3,38.8264293,-77.10877461,Seminary Valley,4609 Seminary Road,Alexandria,VA,22304,703-746-5206,FALSE
18,207,7,3,38.8084852,-77.08705182,Cameron Valley,3301 Duke Street,Alexandria,VA,22314,703-746-5207,FALSE
19,208,8,3,38.81394171,-77.12337604,Landmark,175 North Paxton Street,Alexandria,VA,22304,703-746-5208,FALSE
20,209,9,3,38.83122243,-77.04994634,Potomac Yards,2800 Main Line Blvd,Alexandria,VA,22305,703-746-5209,FALSE
21,210,10,3,38.801665,-77.126592,Eisenhower Valley,5255 Eisenhower Ave,Alexandria,VA,22304,703-746-5210,FALSE
